frame,mean_iou,iou_v0,iou_v1,iou_v2,iou_v3,iou_v4,iou_v5
1710,0.6223,0.7937,0.5806,0.6789,0.4849,0.5671,0.6285
1715,0.613,0.7782,0.5767,0.6713,0.4923,0.5417,0.6176
1720,0.6023,0.766,0.586,0.6466,0.4933,0.5107,0.6111
1725,0.573,0.7181,0.5666,0.6069,0.4686,0.4882,0.5894
1730,0.5757,0.7542,0.5375,0.6068,0.4729,0.5216,0.5614
1735,0.5813,0.7566,0.5482,0.6145,0.4788,0.5301,0.5592
1740,0.5914,0.7463,0.5728,0.6014,0.5069,0.5688,0.5523
1745,0.5567,0.6327,0.5339,0.5513,0.4805,0.6171,0.525
1750,0.5643,0.6223,0.5186,0.5602,0.4901,0.6903,0.5045
1755,0.5947,0.7204,0.5351,0.5656,0.5523,0.7181,0.4766
1760,0.6297,0.7876,0.572,0.5209,0.6433,0.7659,0.4884
1765,0.664,0.6651,0.6771,0.6491,0.6915,0.6828,0.6183
1770,0.5651,0.5893,0.5482,0.6047,0.541,0.5586,0.5486
1775,0.6028,0.5712,0.5525,0.7395,0.5047,0.543,0.7059
1780,0.6518,0.6892,0.5983,0.5764,0.7375,0.7836,0.5255
1785,0.5714,0.54,0.519,0.6045,0.5443,0.6705,0.5503
1790,0.5425,0.5232,0.4962,0.597,0.5108,0.5967,0.5308
1795,0.5831,0.5156,0.5277,0.6586,0.5373,0.6013,0.6583
1800,0.6757,0.5776,0.5883,0.7339,0.682,0.6658,0.8066
1805,0.6341,0.5447,0.5569,0.7524,0.6068,0.6105,0.7332
1810,0.6301,0.5443,0.579,0.777,0.6049,0.5802,0.695
1815,0.6536,0.5895,0.5976,0.7457,0.6569,0.5893,0.7427
1820,0.7137,0.6289,0.6433,0.7807,0.7065,0.6593,0.8632
1825,0.679,0.5952,0.583,0.7536,0.6441,0.6326,0.8655
1830,0.6522,0.5689,0.5637,0.7092,0.6133,0.6258,0.8325
1835,0.6648,0.5987,0.572,0.7472,0.601,0.6547,0.8154
1840,0.68,0.6258,0.6053,0.7641,0.5982,0.6603,0.826
1845,0.6341,0.5721,0.5267,0.7478,0.5396,0.6217,0.7965
1850,0.615,0.5249,0.487,0.7632,0.5093,0.5949,0.8104
